EC,TDS,pH,HCO3,Cl,SO4,Ca ,K ,Mg,Na ,NO3,Al,Co,Cu ,Fe ,Mn ,Ni ,Zn ,Y
138.4,108.7,7.14,60.99999999999996,20.523,12.362,12.0,2.05,11.0,12.5,2.695,1.07,0.183,0.944,0.0481,0.0439,0.1002,0.0267,1
261.4,196.9,7.03,30.49999999999996,50.086,2.627,12.6,2.33,16.7,21.5,56.329,1.04,0.286,0.9435,0.0295,0.0603,0.1052,0.0151,2
461.6,340.2,7.34,114.3749999999998,69.438,15.483,107.0,1.97,20.6,24.9,9.02,1.62,0.381,1.21,0.151,0.2425,0.2065,0.3385,2
182.6,132.5,7.45,68.62499999999994,32.477,9.819,8.71,2.21,10.4,15.9,12.941,0.921,0.188,1.68,0.0323,0.7295,0.1125,0.0,2
136.6,115.4,7.74,47.27500000000008,35.848,1.834,8.53,1.11,7.86,16.9,3.298,0.6965,0.126,1.52,0.0455,0.21,0.1185,0.0833,1
709.0,489.0,7.46,183.00000000000017,87.664,9.491,85.3,1.94,34.2,54.0,4.476,1.23,0.528,0.521,0.175,0.2195,0.2545,0.271,2
519.0,350.0,7.91,42.70000000000001,85.762,26.581,27.9,1.77,33.4,27.1,13.603,0.738,0.286,0.361,0.1205,0.7065,0.129,0.382,2
95.1,70.2,7.61,21.34999999999998,21.874,0.996,2.3,1.01,3.21,8.48,3.372,0.4595,0.11,0.285,0.1355,0.0573,0.0655,0.2295,0
123.8,90.8,7.59,65.57499999999996,14.954,3.794,20.0,0.5105,16.6,19.3,4.527,0.6415,0.221,0.2755,0.0374,0.071,0.144,0.721,1
558.0,377.1,8.71,179.9500000000001,52.845,18.1,4.46,122.0,2.29,7.36,4.454,0.543,0.214,0.2335,0.2525,0.0205,0.0732,0.0177,1
206.3,146.2,10.61,68.015,17.928,1.187,3.0,128.0,2.74,4.8,6.228,0.621,0.123,0.212,0.1335,0.0593,0.0738,0.1269,1
120.8,88.9,9.46,42.70000000000017,15.839,1.009,10.6,68.6,7.87,8.14,6.409,1.1,0.186,0.2395,0.43,0.0984,0.0497,0.0435,1
1574.0,1138.0,7.46,183.00000000000065,337.621,112.918,35.7,67.4,45.2,63.9,34.679,0.739,0.354,0.26,0.15,0.12,0.201,0.116,2
753.0,534.0,8.86,76.24999999999979,111.249,44.251,41.8,68.8,48.8,76.2,75.204,0.7525,0.379,0.606,0.1415,0.137,0.2055,0.0725,2
368.6,249.3,8.72,94.54999999999998,66.802,3.266,20.3,28.3,29.7,62.3,1.122,0.593,0.262,0.227,0.78,0.137,0.0959,0.0719,2
596.0,431.6,8.59,146.40000000000057,74.155,11.026,37.4,244.0,42.0,41.4,42.876,0.621,0.297,0.182,0.0642,0.1265,0.1395,0.0041,2
619.0,422.5,7.57,91.49999999999999,117.091,15.237,32.7,235.0,46.0,61.3,70.17,0.578,0.251,0.229,0.0699,0.113,0.1495,0.0718,2
888.0,602.0,7.93,125.04999999999984,144.139,36.419,19.6,17.3,44.6,53.7,90.445,0.447,0.188,0.183,0.0314,0.071,0.13,0.0244,1
662.0,482.0,8.42,85.40000000000013,135.726,36.126,49.0,7.24,91.8,101.0,71.677,0.7595,0.479,1.96,0.23,0.247,0.215,2.98,2
814.0,572.0,7.42,147.92499999999998,131.855,17.431,35.3,5.08,33.0,95.2,7.553,0.625,0.337,0.4005,0.0728,0.615,0.1017,0.798,2
1705.0,1136.0,7.64,137.25000000000006,411.663,25.512,193.0,4.67,236.0,173.0,22.864,1.77,0.972,0.5225,0.3735,0.6615,0.404,4.48,2
1300.0,847.0,8.15,265.34999999999997,193.037,30.691,124.0,2.38,68.8,101.0,0.0,1.32,0.543,1.72,0.243,0.3205,0.256,1.74,2
3688.0,2383.0,7.76,699.9750000000001,653.681,77.374,37.7,2.42,39.5,73.0,80.051,0.6115,0.262,0.5895,0.0576,0.15,0.1695,1.66,2
1964.0,1273.0,7.58,128.10000000000002,435.502,66.115,89.7,3.23,102.0,121.0,3.365,1.06,0.532,0.392,0.1895,1.75,0.2235,2.84,2
1098.0,718.0,8.12,210.45000000000005,149.708,24.265,77.3,5.12,75.4,59.3,22.61,0.9265,0.394,0.299,0.1325,0.3175,0.1715,0.9185,2
2661.0,1750.0,9.93,35.07500000000007,808.917,8.554,126.0,3.21,148.0,107.0,6.224,1.33,0.707,0.3715,0.2455,0.4625,0.2705,0.745,2
1091.0,719.0,7.78,244.00000000000023,124.163,32.139,34.7,2.94,25.9,33.1,18.153,0.563,0.174,0.44,0.0432,0.1275,0.0802,0.187,1
2223.0,1465.0,9.5,353.8000000000003,380.078,38.975,93.7,2.59,0.407,295.0,7.152,0.2565,0.0,0.9315,0.0,0.143,0.0,0.0,1
162.01,44.4,6.05,48.8,17.799,5.589,9.26,5.84,6.6,9.99,1.544,0.9795,0.0,0.141,0.7385,0.0245,0.0,0.0,1
165.9,107.7,6.96,27.449999999999978,24.136,4.283,9.64,4.91,6.27,10.2,0.918,0.1018,0.0,0.0038,0.0,0.0203,0.0,0.0,0
171.5,120.3,6.43,70.15000000000002,22.877,2.475,15.8,5.32,8.93,8.76,0.958,0.139,0.0,0.0,0.0,0.039,0.0,0.0,0
105.3,71.3,6.36,36.59999999999998,26.407,4.511,4.13,5.45,3.16,5.91,0.875,0.0402,0.0,0.024,0.5435,0.0,0.0,0.0,0
163.7,110.7,6.57,70.15000000000006,23.582,4.649,10.1,5.37,6.34,6.77,1.138,0.1033,0.0,0.083,0.338,0.0186,0.0,0.0,0
308.9,190.9,6.6,100.64999999999998,42.013,7.575,9.19,6.21,13.4,30.7,2.766,0.1833,0.0,0.114,0.0,0.0269,0.0,0.0,0
147.7,107.8,7.45,67.09999999999997,17.976,5.834,12.0,5.05,7.61,11.7,1.674,0.2095,0.0,0.0,0.1215,0.0228,0.0,0.0,0
166.6,110.8,7.24,85.39999999999992,19.208,5.986,12.9,5.15,7.6,11.1,1.227,0.039,0.0,0.0,0.0,0.0284,0.0,0.0,0
1358.0,893.0,7.53,198.25000000000003,200.835,42.596,42.6,6.52,57.3,42.5,1.59,0.2995,0.15,0.0375,0.0,0.1305,0.0,0.0,1
130.8,96.7,8.06,67.1000000000001,19.524,5.845,12.0,4.76,6.9,5.03,4.243,0.183,0.0,0.2985,0.0,0.0231,0.0,0.0,0
689.0,468.5,7.33,182.99999999999997,109.444,18.851,35.8,6.32,38.1,60.3,2.931,0.907,0.468,0.27,0.1725,0.122,0.2355,0.149,2
242.1,159.3,7.65,76.25000000000001,36.959,8.597,18.3,5.49,16.0,27.4,1.417,1.04,0.33,0.206,0.281,0.0639,0.177,0.15,2
320.6,197.9,7.45,106.74999999999996,38.499,8.985,22.8,5.66,18.1,31.4,1.762,1.04,0.328,0.2025,0.2655,0.0807,0.1525,0.0792,2
136.7,81.2,7.31,33.54999999999998,26.538,2.774,4.83,5.17,5.78,14.2,4.524,0.5255,0.194,0.1745,0.199,0.0177,0.1195,0.0589,1
97.5,69.3,7.04,36.60000000000004,19.243,2.157,4.5,4.95,4.85,11.4,5.603,0.5585,0.166,0.1975,0.234,0.0153,0.0985,0.0754,1
132.9,101.7,6.28,45.74999999999999,29.953,1.879,6.72,4.74,6.8,17.9,4.368,0.7925,0.215,0.176,0.2245,0.0226,0.0563,0.239,1
109.0,76.8,7.98,48.8,24.049,1.663,31.1,4.37,5.66,16.2,1.478,1.11,0.238,0.196,1.5,0.1075,0.133,0.0591,2
